head_x,head_y,head_z,JAB,JAC,ABC,BCE,JAD,KDE,NIH,MGF,HIC,FGC,label
82.94 ,-6.76 ,646.20 ,49.43 ,48.88 ,177.14 ,46.85 ,46.85 ,59.71 ,126.12 ,52.13 ,89.46 ,93.25 ,forward
97.74 ,-0.78 ,631.18 ,45.93 ,45.41 ,176.78 ,45.72 ,45.72 ,58.57 ,126.54 ,55.00 ,88.33 ,95.32 ,forward
100.59 ,-51.17 ,666.73 ,43.48 ,43.33 ,179.20 ,43.46 ,43.46 ,59.66 ,125.76 ,56.12 ,81.66 ,94.43 ,forward
87.24 ,-12.36 ,665.30 ,43.47 ,43.15 ,177.82 ,44.20 ,44.20 ,61.59 ,114.04 ,52.39 ,82.64 ,95.34 ,forward
86.36 ,-8.42 ,654.35 ,43.78 ,43.42 ,177.61 ,44.13 ,44.13 ,58.48 ,121.06 ,52.81 ,88.22 ,92.19 ,forward
90.48 ,10.26 ,652.57 ,44.41 ,44.02 ,176.84 ,44.88 ,44.88 ,60.17 ,114.85 ,54.55 ,81.63 ,89.89 ,forward
91.62 ,11.22 ,640.85 ,44.76 ,44.36 ,176.80 ,45.33 ,45.33 ,58.40 ,124.67 ,56.50 ,83.93 ,92.25 ,forward
99.38 ,-17.49 ,630.63 ,45.45 ,45.11 ,177.49 ,45.52 ,45.52 ,60.38 ,116.62 ,56.94 ,84.54 ,91.69 ,forward
99.80 ,-8.52 ,641.19 ,46.30 ,46.14 ,179.12 ,45.02 ,45.02 ,58.30 ,124.55 ,51.99 ,88.67 ,93.24 ,forward
96.30 ,-10.27 ,643.55 ,46.27 ,46.05 ,178.97 ,44.18 ,44.18 ,61.74 ,126.94 ,53.03 ,85.98 ,92.56 ,forward
100.35 ,-47.36 ,625.41 ,50.34 ,49.97 ,177.62 ,49.69 ,49.69 ,57.31 ,114.19 ,58.12 ,87.48 ,93.62 ,forward
121.62 ,-23.50 ,624.22 ,47.39 ,47.14 ,178.59 ,46.16 ,46.16 ,62.47 ,115.25 ,53.98 ,89.42 ,92.82 ,forward
119.17 ,-33.30 ,610.28 ,47.79 ,48.13 ,178.30 ,45.95 ,45.95 ,61.37 ,116.86 ,57.56 ,89.04 ,85.69 ,forward
112.74 ,-29.21 ,648.26 ,45.75 ,45.28 ,178.00 ,44.13 ,44.13 ,61.46 ,119.60 ,55.98 ,88.56 ,93.63 ,forward
110.94 ,-26.38 ,660.07 ,44.33 ,43.83 ,178.15 ,42.32 ,42.32 ,61.60 ,114.59 ,56.29 ,84.00 ,89.50 ,forward
89.85 ,-11.24 ,654.31 ,45.43 ,45.09 ,178.76 ,43.08 ,43.08 ,58.25 ,128.25 ,56.20 ,85.77 ,88.60 ,forward
90.32 ,-4.80 ,644.78 ,45.79 ,45.41 ,178.35 ,45.31 ,45.31 ,58.38 ,122.12 ,54.45 ,80.83 ,95.26 ,forward
91.33 ,-15.17 ,651.43 ,46.08 ,45.57 ,177.96 ,45.82 ,45.82 ,56.87 ,128.08 ,54.11 ,81.30 ,93.16 ,forward
101.47 ,-21.57 ,637.43 ,47.91 ,47.85 ,179.62 ,48.72 ,48.72 ,57.81 ,125.88 ,52.50 ,82.63 ,95.35 ,forward
86.81 ,-55.58 ,664.80 ,44.18 ,44.56 ,178.26 ,44.88 ,44.88 ,56.20 ,114.46 ,51.71 ,87.35 ,91.87 ,forward
77.52 ,-62.38 ,677.97 ,47.53 ,47.68 ,179.23 ,49.94 ,49.94 ,62.46 ,126.92 ,56.87 ,80.47 ,85.96 ,forward
79.01 ,-55.71 ,679.56 ,49.44 ,49.58 ,179.27 ,51.39 ,51.39 ,59.40 ,121.24 ,52.27 ,90.01 ,92.11 ,forward
83.32 ,-60.46 ,664.61 ,52.40 ,52.43 ,179.82 ,53.88 ,53.88 ,62.38 ,125.78 ,54.07 ,80.77 ,89.15 ,forward
82.24 ,-27.28 ,649.72 ,51.58 ,51.53 ,179.75 ,51.60 ,51.60 ,58.54 ,116.17 ,54.49 ,83.80 ,93.89 ,forward
89.83 ,-34.00 ,637.63 ,54.90 ,54.62 ,177.65 ,55.10 ,55.10 ,57.06 ,121.83 ,54.94 ,80.98 ,94.77 ,forward
95.41 ,-24.22 ,637.64 ,52.28 ,52.07 ,178.41 ,52.36 ,52.36 ,61.68 ,116.14 ,53.01 ,87.98 ,88.14 ,forward
106.80 ,-20.98 ,649.15 ,47.66 ,47.46 ,179.11 ,45.84 ,45.84 ,61.09 ,124.69 ,53.85 ,88.64 ,91.83 ,forward
100.79 ,-16.40 ,645.25 ,47.22 ,46.78 ,177.67 ,47.22 ,47.22 ,59.99 ,126.45 ,55.19 ,80.63 ,91.75 ,forward
123.53 ,-12.10 ,615.55 ,49.06 ,48.92 ,178.81 ,49.47 ,49.47 ,62.29 ,126.25 ,56.93 ,83.59 ,88.39 ,forward
136.84 ,-15.42 ,601.35 ,49.48 ,49.35 ,178.95 ,48.62 ,48.62 ,59.29 ,115.66 ,56.62 ,81.15 ,96.35 ,forward
110.55 ,-35.90 ,616.76 ,50.86 ,50.69 ,178.89 ,51.00 ,51.00 ,55.92 ,115.13 ,53.15 ,87.32 ,93.85 ,forward
104.15 ,-40.55 ,648.46 ,51.19 ,50.91 ,178.07 ,51.38 ,51.38 ,57.89 ,118.92 ,56.55 ,86.08 ,96.13 ,forward
108.74 ,-11.47 ,671.48 ,47.41 ,46.95 ,177.11 ,46.76 ,46.76 ,60.04 ,118.31 ,52.08 ,80.07 ,87.45 ,forward
106.72 ,-6.50 ,669.87 ,46.74 ,46.51 ,178.46 ,46.10 ,46.10 ,58.45 ,124.97 ,57.05 ,82.72 ,95.30 ,forward
102.00 ,-12.51 ,664.57 ,45.87 ,45.69 ,179.06 ,44.39 ,44.39 ,56.72 ,124.80 ,54.19 ,80.67 ,88.73 ,forward
103.77 ,-19.21 ,659.01 ,46.16 ,45.97 ,179.15 ,44.98 ,44.98 ,57.29 ,117.71 ,57.87 ,88.58 ,93.98 ,forward
107.19 ,-16.13 ,660.38 ,45.45 ,45.27 ,179.06 ,45.82 ,45.82 ,60.75 ,119.16 ,52.88 ,89.50 ,86.42 ,forward
101.51 ,-14.67 ,653.87 ,46.94 ,46.90 ,179.81 ,45.74 ,45.74 ,60.38 ,123.36 ,56.88 ,83.07 ,86.65 ,forward
100.87 ,-15.22 ,664.58 ,46.44 ,46.22 ,178.67 ,46.40 ,46.40 ,58.39 ,118.39 ,57.79 ,82.29 ,92.10 ,forward
96.74 ,-12.41 ,657.34 ,47.58 ,47.46 ,179.35 ,46.43 ,46.43 ,60.74 ,119.06 ,53.49 ,81.69 ,87.16 ,forward
102.96 ,-20.11 ,654.84 ,47.10 ,46.86 ,178.71 ,47.14 ,47.14 ,57.83 ,117.42 ,56.29 ,88.42 ,96.11 ,forward
